,train_acc1_mean,train_acc1_std,train_loss_mean,train_loss_std,test_acc1_mean,test_acc1_std,test_loss_mean,test_loss_std,train_auc_mean,train_auc_std,test_auc_mean,test_auc_std
lr-0.0001,0.8785440826416014,0.00807328133102336,0.2679322785048774,0.010163772270126128,0.8574712626139324,0.011494255065939101,0.324840631158579,0.014815086632065716,0.9431571307371281,0.004644792774184128,0.931482285585629,0.0047124962458518025
lr-0.0002,0.895785420735677,0.003826601736173963,0.24226653842311918,0.004662279557931973,0.8697318013509113,0.007389780018907971,0.31372461716334027,0.018938822292606412,0.9531842828395769,0.0014890491462438208,0.9387996333285087,0.003882249466741767
lr-0.0005,0.898275858561198,0.013016982405945237,0.24385185517144922,0.04251111972467499,0.8559386952718099,0.017254167902584935,0.32865236876975923,0.017604496933190453,0.9536545269578475,0.015477503056202819,0.9306781814380599,0.0037873561433766764
lr-0.001,0.8772030385335287,0.017754177047496704,0.2765222646070249,0.025179635553911117,0.85593869527181,0.003511569575179947,0.3247035787928672,0.005213857241698455,0.9391464333645558,0.012561418005169467,0.9303565397790322,0.0022379967855635716
lr-0.002,0.8666666666666666,0.011217940038787875,0.2921182065750614,0.01295477741168263,0.8620689646402995,0.006896553039585946,0.320728990648474,0.013124568157066634,0.9329289124937269,0.00648303605831119,0.9299303645808205,0.002765790996589607
lr-0.005,0.8411877441406249,0.013284852293188883,0.33923089350714825,0.019971440956910825,0.8314175923665365,0.014779544215131644,0.3640060627034732,0.019201837421329384,0.9074044104866074,0.011818902106788952,0.9089673694536916,0.011477039652373178
lr-0.01,0.8340996297200521,0.018687733143268267,0.35750472094073443,0.023808708168040264,0.8360152943929037,0.007023105852893156,0.3694445515672366,0.010464651518199882,0.8967778742241381,0.015443862549015423,0.90749585886364,0.001716192608282776
lr-0.02,0.8348659006754557,0.013359229685511122,0.3485949660792495,0.016396190858813553,0.8452107238769532,0.01530648333416635,0.3660196037519546,0.012915389072755017,0.9012945063172365,0.011555748207042362,0.9119827600070761,0.004156207357317334
lr-0.05,0.8350574747721354,0.037843852259770654,0.34811091612685807,0.051749483807035014,0.8360152943929037,0.013272422512883957,0.3603553392347836,0.024083325670120215,0.8997753399189307,0.034500300030800624,0.9133416960164681,0.013904262843444962
lr-5e-05,0.838697280883789,0.011838705328449143,0.35120671752727395,0.019496967780746857,0.8505746968587239,0.006896553039585946,0.33744855899186366,0.005143985475373329,0.8981335722151659,0.011289073803828832,0.9250253292806484,0.0042716325266678075
